question,answers,top_uris
Whut happens wen we press the acknowlege button on a MAN Energy Solutions system aftr an alarm condishun?,['12105038603.html'],"['9402053003.html', '9402055179.html', '6655-0130-0012.html', '17746269963.html', '12113729931.html']"
why LDCL cooling water system have different pressure values than normal system? me need know for maintenance schedule,['16541745931.html'],"['12104979851.html', '12104979851.html', '12104858507.html', '12104979851.html', '12105013003.html']"
What does BDC mean in marine engine maintenance when turning the crankshaft?,['17839532171.html'],"['12216353675.html', '7065-1101-0012.html', '7185562123.html', '7185553035.html']"
Whut is Vaseline used for in the coolin water jacket maintanence prosess?,['28628434571.html'],"['5045-0100-0005.html', '12104858507.html', '12104858507.html', '5045-0100-0005.html']"
How to check Air Valve 3465-0201-0009 after overhaul?,['3465-0201-0009.html'],"['19802674571.html', '43298533259.html', '22851858955.html', '20472632203.html']"
what happen when Tacho set A failure alarm show up?,['6786301963.html'],"['71018847499__en.html', '71018847499__en.html', '71018847499__en.html']"
"Could you explain what the ""Normal Alarm"" status indicates in the vessel monitoring system and how it's identified?",['6786301963.html'],"['12104858507.html', '12113729931.html', '12105038603.html', '6786307211.html']"
"Helo, I'm wundering about the Base Numbr (BN) in circulating oil analisys for our machinary. Can you explane what it meens and what are the potenshial risks if the BN gets to high? I need to no this for my next maintanence inspection becuz I'm seeing some strange readings in our latest oil sampels and I'm worryed about posible damage to our hydraulic sistems if we dont adress this isue.",['7208448139.html'],"['4565-0301-0020.html', 'D010.000.023-11-0001.html', '8016351371.html', '43262091.html', '43262091.html']"
What does Description 500.35 contain about plunger lift values?,['7616526603.html'],"['M5070120-16.html', 'M5070125-03.html', 'M5050140-01.html', 'P52002-12.html']"


FROM HERE FINETUNE IS RIGHT

"As a Marine Engineering Supervisor specializing in fuel oil system inspection, I'm reviewing the alarm parameters for our vessel's lubrication systems. Could you explain the differential pressure specifications for the Boll & Kirch lubrication oil filter according to the maintenance documentation, and at what point the high alarm would be triggered during operation?",['16541092491.html'],"['17710066443.html', 'M5140115-03.html', '11033720203.html', '6957920011.html', '6958013835.html']"
Wat does MAN Energy Solutions recomend for runing-in a new piston rod?,['17669900171.html'],"['17668600971.html', '7579347467.html', 'C2 0287 500.45-06.html', '3879018251.html', '6905355787.html']"
"As a vessel operations manager, what considerations should I be aware of when calculating turbocharger efficiencies for engines on ships operating in Asia?",['6345-0360-0002.html'],"['9042855819.html', 'C1 0288 1.1-03.html', '9042833547.html', '9167137163.html', '60664471051.html']"
what are ME-engines gear wheels safety checks?,['6645-0130-0002.html'],"['7616526603.html', '17690338955.html', '19773628555.html', '2565-0401-0020.html', 'M5070100-01.html']"
Wat hapens to combuston presure when MAN Energy Solutions injekshun timing is advansed?,['7616526603.html'],"['55723806475.html', 'M5070120-16.html', '36280188299.html', '7417593483.html', '7224395275.html']"
